Start log
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
iiwa, (iiwaGo(any,home),true,0), WINNER(iiwaGo(any,home),0)
